,liste_urls_boamp_tables_t1_2021_github
21,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_G_01_reference.csv
22,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_G_02_marche.csv
23,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_01_G_04_indexation.csv
24,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_01_identite.csv
25,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_02_typeorganisme.csv
26,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_03_typepouvoiradjudicateur.csv
27,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_04_activiteprincipale.csv
28,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_05_objet.csv
29,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_06_procedure.csv
30,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_07_publicationanterieure.csv
31,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_08_attribution.csv
32,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_09_rectif.csv
33,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_10_annulation.csv
34,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_11_conditiondelai.csv
35,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_12_conditionrelativemarche.csv
36,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_13_conditionparticipation.csv
37,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_14_conditionparticipationsystmequalif.csv
38,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_15_conditionadministrative.csv
39,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_16_renseignementscomplementaires.csv
40,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_17_modif.csv
41,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_18_annexed1.csv
42,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_19_annexed2.csv
43,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_20_annexed3.csv
44,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_D_21_annexed4.csv
45,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_G_01_reference.csv
46,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_G_02_marche.csv
47,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_02_G_04_indexation.csv
48,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_01_identite.csv
49,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_02_typeorganisme.csv
50,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_03_typepouvoiradjudicateur.csv
51,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_04_activiteprincipale.csv
52,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_05_objet.csv
53,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_06_procedure.csv
54,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_07_publicationanterieure.csv
55,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_08_attribution.csv
56,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_09_rectif.csv
57,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_10_annulation.csv
58,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_11_conditiondelai.csv
59,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_12_conditionrelativemarche.csv
60,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_13_conditionparticipation.csv
61,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_14_conditionparticipationsystmequalif.csv
62,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_15_conditionadministrative.csv
63,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_16_renseignementscomplementaires.csv
64,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_17_modif.csv
65,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_18_annexed1.csv
66,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_19_annexed2.csv
67,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_20_annexed3.csv
68,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_D_21_annexed4.csv
69,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_G_01_reference.csv
70,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_G_02_marche.csv
71,https://raw.githubusercontent.com/Semaine52/AuFilDuBoamp_Lab/master/notebooks/boamp_2021_T1_data_mensuel_csv/df_boamp_2021_03_G_04_indexation.csv
